2021-07-12,Point of Sale - Interac RETAIL PURCHASE 000571930711 MARCO POLO LAND,8.03,
2021-07-12,"Internet Banking E-TRANSFER 010329083442 THOMAS SUTTON,JR",,100.00
2021-07-12,Point of Sale - Interac RETAIL PURCHASE 274950166109 SQ *DOUGHNUTS B,7.48,
2021-07-12,Internet Banking INTERNET TRANSFER 000000229011,1000.00,
2021-07-12,Point of Sale - Interac RETAIL PURCHASE 000418030710 STIR IT UP VEGA,15.87,
2021-07-12,Automated Banking Machine ATM WITHDRAWAL INTERAC/TNS SCD 1127,102.50,
2021-07-09,Point of Sale - Interac RETAIL PURCHASE 119008932169 SAMUEL'S COFFEE,45.83,
2021-07-09,Point of Sale - Interac RETAIL PURCHASE 000001001028 GRECO CAVENDISH,69.13,
2021-07-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,19.33,
2021-07-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,22.99,
2021-07-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,48.56,
2021-07-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,30.93,
2021-07-08,Point of Sale - Interac RETAIL PURCHASE 000002302041 PURE ISLAND MAR,7.50,
2021-07-08,Point of Sale - Interac RETAIL PURCHASE 000422370708 STIR IT UP VEGA,85.61,
2021-07-08,Point of Sale - Interac RETAIL PURCHASE 000022301967 COWS,10.44,
2021-07-08,Point of Sale - Interac RETAIL PURCHASE 000001001728 MY LITTLE STASH,13.80,
2021-07-08,Point of Sale - Interac RETAIL PURCHASE 000001019002 NIMROD'S EATERY,26.45,
2021-07-08,Electronic Funds Transfer PAY SALARIES EDUCATION,,1948.66
2021-07-08,Point of Sale - Interac RETAIL PURCHASE 137505607589 SQ *GALLEY,25.88,
2021-07-07,Point of Sale - Interac RETAIL PURCHASE 118816367935 CLOVER FARMS #2,12.41,
2021-07-07,Point of Sale - Interac RETAIL PURCHASE 274949856935 SQ *SANDSPIT EN,8.51,
2021-07-07,Point of Sale - Interac RETAIL PURCHASE 274949855175 SQ *SANDSPIT EN,4.50,
2021-07-07,Point of Sale - Interac RETAIL PURCHASE 274949846367 SQ *SANDSPIT EN,6.99,
2021-07-07,Point of Sale - Interac RETAIL PURCHASE 118810160490 MARITIME FUN GR,20.01,
2021-07-07,Point of Sale - Interac RETAIL PURCHASE 000719180706 MARCO POLO LAND,10.99,
2021-07-06,Point of Sale - Interac RETAIL PURCHASE 118720017745 Route 2 Diner,19.37,
2021-07-06,Point of Sale - Interac RETAIL PURCHASE 000001001647 WENDY'S RESTAUR,12.37,
2021-07-05,Point of Sale - Interac RETAIL PURCHASE 000001001691 WALMART STORE #,80.70,
2021-07-05,Point of Sale - Interac RETAIL PURCHASE 118515198740 TIMEMASTERS,71.58,
2021-07-05,Point of Sale - Interac RETAIL PURCHASE 033001001036 DOMINION BLACKM,145.23,
2021-07-05,Point of Sale - Interac RETAIL PURCHASE 000001001651 COSTCO WHOLESAL,305.27,
2021-07-05,Internet Banking INTERNET BILL PAY 000000225612 NEWFOUNDLAND POWER,425.00,
2021-07-05,Internet Banking INTERNET TRANSFER 000000210910,1750.00,
2021-07-02,Electronic Funds Transfer PREAUTHORIZED DEBIT 000000000000000 IG FIN SERV IG SERV FIN,1600.00,
2021-07-02,Internet Banking E-TRANSFER 103825882574 Daniel Sutton,40.00,
2021-07-02,Point of Sale - Interac RETAIL PURCHASE 000001652026 THE SOURCE #567,28.74,
2021-07-02,Point of Sale - Interac RETAIL PURCHASE 000001050032 SHOPPERS DRUG M,32.83,
2021-07-02,Point of Sale - Interac RETAIL PURCHASE 000001001067 CANADIAN TIRE #,80.49,
2021-07-02,Point of Sale - Interac RETAIL PURCHASE 138001001166 ONLY DEALS,39.07,
2021-07-02,Point of Sale - Interac RETAIL PURCHASE A0PXSDKQ0000 Subway Delite I,22.56,
2021-07-02,Point of Sale - Interac RETAIL PURCHASE 118212025928 TIM HORTONS #55,5.74,
2021-07-02,Internet Banking INTERNET TRANSFER 000000280354,3100.00,
2021-07-02,Internet Banking INTERNET TRANSFER 000000289866,1500.00,
2021-07-02,Internet Banking INTERNET TRANSFER 000000252375,432.00,
2021-07-02,Internet Banking INTERNET BILL PAY 000000958625 BELL ALIANT NL,125.00,
2021-06-30,Branch Transaction OVERDRAFT INTEREST CHARGE,1.63,
2021-06-30,Branch Transaction MONTHLY FIXED OVERDRAFT FEE,4.00,
2021-06-30,Branch Transaction SERVICE CHARGE REWARDS,,14.95
2021-06-30,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$14.95 RECORD-KEEPING N/A,14.95,
2021-06-30,Electronic Funds Transfer DEPOSIT TRANSFERWISE CANADA_____562CR,,11312.47
2021-06-30,Point of Sale - Interac RETAIL PURCHASE 000001001229 WALMART STORE #,116.09,
2021-06-30,Point of Sale - Interac RETAIL PURCHASE 000001001154 BUCK OR TWO PLU,4.55,
2021-06-30,Point of Sale - Interac RETAIL PURCHASE 000014023792 MASTERMIND TOYS,22.94,
2021-06-30,Point of Sale - Interac RETAIL PURCHASE 000001001002 3467 CARTER'S/,57.76,
2021-06-30,Point of Sale - Interac RETAIL PURCHASE 000001547006 BULK BARN # 662,18.66,
2021-06-28,Electronic Funds Transfer PREAUTHORIZED DEBIT 000000000000000 IG FIN SERV IG SERV FIN,800.00,
2021-06-28,Electronic Funds Transfer DEPOSIT JOHNSON/UNIFUND,,432.00
2021-06-28,Point of Sale - Interac RETAIL PURCHASE 000001003312 BOOSTER JUICE #,7.01,
2021-06-28,Point of Sale - Interac RETAIL PURCHASE 000001001525 MARIE'S MINI MA,13.42,
2021-06-28,Point of Sale - Interac RETAIL PURCHASE 000001344016 ARDENE #221,27.49,
2021-06-25,Point of Sale - Interac RETAIL PURCHASE 000001001454 COSTCO WHOLESAL,218.96,
2021-06-25,Internet Banking E-TRANSFER 103818362941 karen adams,13.00,
2021-06-25,Internet Banking INTERNET TRANSFER 000000281250,1500.00,
2021-06-24,Point of Sale - Interac RETAIL PURCHASE 117511355870 BK #103382,24.75,
2021-06-24,Point of Sale - Interac RETAIL PURCHASE 000001448383 MCDONALD'S #412,27.66,
2021-06-24,Electronic Funds Transfer PAY SALARIES EDUCATION,,2674.49
2021-06-23,Point of Sale - Interac RETAIL PURCHASE 000001492142 SOBEYS #340,57.22,
2021-06-23,Point of Sale - Interac RETAIL PURCHASE 000001001646 DOLLARAMA #1149,25.00,
2021-06-23,Point of Sale - Interac RETAIL PURCHASE 000001001645 DOLLARAMA #1149,25.00,
2021-06-23,Point of Sale - Interac RETAIL PURCHASE 000001001644 DOLLARAMA #1149,25.00,
2021-06-23,Point of Sale - Interac RETAIL PURCHASE 000001001643 DOLLARAMA #1149,7.75,
2021-06-22,Internet Banking INTERNET TRANSFER 000000256081,,1500.00
2021-06-21,Point of Sale - Interac RETAIL PURCHASE 000001001392 DOLLARAMA #1149,68.24,
2021-06-21,Point of Sale - Interac RETAIL PURCHASE 000001001884 DOLLARAMA #1149,44.28,
2021-06-21,Point of Sale - Interac RETAIL PURCHASE 000001773145 CIRCLE K / IRVI,45.39,
2021-06-21,Point of Sale - Interac RETAIL PURCHASE A9A6HC700000 Subway,14.92,
2021-06-21,Point of Sale - Interac RETAIL PURCHASE 000001606169 NLC #043,68.65,
